Unnamed: 0,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,ee 3,Pre catalyst 2(True or False),Type of Coordination Atoms 2,Additive 2 step 2,L/M 1,Yield 1,Central Metal of Catalyst 2,exo/endo,S/C 2,Valence of Central Metal 1,Ammount of additive 2 step 2,dr 2,Product 3 R or S,"Other information(use ""-"" to split, eg. 'property1-property2')",Reaction ID,Additive 1 step 2,Reaction Temperature/C step 2,Product Name 2,Reaction Temperature/C,pdf name (don't include '.pdf'),Solvent 1 ammount(mL),dr 1,S/C 1,Ligand 2 Type,Type of Coordination Atoms 1,Reaction Time/h,Number of Coordination Atoms 1,Solvent 2,Ammount of additive 1,LED,Number of Coordination Atoms 2,LED step 2,Reaction Type,Ammount of reactant 2(mmol),Ref.(DOI),Yield 3,"Molecular Sieve(3A, 4A, 5A)",Solvent Ratio,Yield 2,Product 2 R or S,Ammount of additive 2,dr 3,L/M 2,Charge of Ligand 2,Ammount of reactant 1(mmol),Pressure/atm,Solvent 2 ammount(mL),ee 1,Valence of Central Metal 2,Pre catalyst 1(True or False),Central Metal of Catalyst 1,Ligand Name 2,Reactant Name 2,Ligand 1 Type,Additive 2,Product Name 3,(Pre)Catalyst Name 2,Ammount of additive 1 step 2,ee 2,Reaction Time/h step 2,Ammount of Molecular Sieve(mg),Charge of Ligand 1,Product 1 R or S
10,O=Cc1ccccc1O,C1=CC2C=CC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2C=C[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2C=C[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,C1=CC([Fe][C@@H]2C=CC=C2P(c2ccccc2)c2ccccc2)C(P(c2ccccc2)c2ccccc2)=C1,ClCCCl,,O=P([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+],,,,,,,1.0,0.5,,85:15,,0.0,,,,,11,,,"((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,"P,P",70.0,2.0,,0.06,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,"bicyclo[2.2.1]hepta-2,5-diene",,,,,,,,,0.0,S
11,O=Cc1ccccc1O,C1=CC2C=CC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2C=C[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2C=C[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,ClCCCl,,O=P([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+],,,,,,,2.0,,,50:50,,0.0,,,,,12,,,"((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,"P,P",90.0,2.0,,0.06,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,"bicyclo[2.2.1]hepta-2,5-diene",,,,,,,,,0.0,S
12,O=Cc1ccccc1O,C1=CC2C=CC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2C=C[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2C=C[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,,ClCCCl,,,,,,,,,,,,54:46,,,,,,,13,,,"((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,20,,,20.0,,,,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,False,Rh,,"bicyclo[2.2.1]hepta-2,5-diene",,,,,,,,,,S
13,O=Cc1ccccc1O,C1=CC2CCC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2CC[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2CC[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,CC1(C)O[C@@H](CP(c2ccccc2)c2ccccc2)[C@H](CP(c2ccccc2)c2ccccc2)O1,ClCCCl,,O=P([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+],,,,,,,1.0,0.2,,95:5,,0.0,,,,,14,,,"((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,"P,P",45.0,2.0,,0.06,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,-0.11,,True,Rh,,bicyclo[2.2.1]hept-2-ene,,,,,,,,,0.0,S
14,O=Cc1ccccc1O,C1=CC2CCC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2CC[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2CC[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,O=C(N[C@@H]1CCCC[C@H]1NC(=O)c1ccccc1P(c1ccccc1)c1ccccc1)c1ccccc1P(c1ccccc1)c1ccccc1,ClCCCl,,O=P([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+],,,,,,,1.0,0.34,,95:5,,0.0,,,,,15,,,"((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,"P,P",62.0,2.0,,0.06,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,-0.2,,True,Rh,,bicyclo[2.2.1]hept-2-ene,,,,,,,,,0.0,S
15,O=Cc1ccccc1O,C1=CC2CCC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2CC[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2CC[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,ClCCCl,,O=P([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+],,,,,,,2.0,0.5,,98:2,,0.0,,,,,16,,,"((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,P,65.0,1.0,,0.06,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,-0.18,,True,Rh,,bicyclo[2.2.1]hept-2-ene,,,,,,,,,0.0,S
16,O=Cc1ccccc1O,C1=CC2CCC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2CC[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2CC[C@H]1C2,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Cl-].[Cl-].[Rh+].[Rh+],CC(C)N(C(C)C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,ClCCCl,,O=P([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+],,,,,,,2.0,,,98:2,,1.0,,,,,17,,,"((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,P,62.0,1.0,,0.06,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,-0.03,,True,Rh,,bicyclo[2.2.1]hept-2-ene,,,,,,,,,0.0,S
17,O=Cc1ccccc1O,C1=CC2CCC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2CC[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2CC[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,ClCCCl,,O=P([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+],,,,,,,2.0,0.9,,99:1,,0.0,,,,,18,,,"((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,P,23.0,1.0,,0.06,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,bicyclo[2.2.1]hept-2-ene,,,,,,,,,0.0,S
18,O=Cc1cc(Cl)cc(Cl)c1O,C1=CC2CCC1C2,O=C(c1cc(Cl)cc(Cl)c1O)[C@H]1C[C@@H]2CC[C@H]1C2,O=C(c1cc(Cl)cc(Cl)c1O)[C@@H]1C[C@@H]2CC[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,ClCCCl,,O=P([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+],,,,,,,2.0,0.7,,99:1,,0.0,,,,,19,,,"((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(3,5-dichloro-2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,P,23.0,1.0,,0.06,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,-0.07,,True,Rh,,bicyclo[2.2.1]hept-2-ene,,,,,,,,,0.0,S
19,O=Cc1cc([N+](=O)[O-])ccc1O,C1=CC2CCC1C2,O=C(c1cc([N+](=O)[O-])ccc1O)[C@H]1C[C@@H]2CC[C@H]1C2,O=C(c1cc([N+](=O)[O-])ccc1O)[C@@H]1C[C@@H]2CC[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,ClCCCl,,O=P([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+],,,,,,,2.0,0.69,,98:2,,0.0,,,,,20,,,"((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxy-5-nitrophenyl)methanone",80,10.1002_adsc.200600583,2,,5,,P,14.0,1.0,,0.06,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,-0.06,,True,Rh,,bicyclo[2.2.1]hept-2-ene,,,,,,,,,0.0,S
20,Nc1c(Br)cc(Br)cc1C=O,C1=CC2CCC1C2,Nc1c(Br)cc(Br)cc1C(=O)[C@H]1C[C@@H]2CC[C@H]1C2,Nc1c(Br)cc(Br)cc1C(=O)[C@@H]1C[C@@H]2CC[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,ClCCCl,,O=P([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+],,,,,,,2.0,,,,,0.0,,,,,21,,,"(2-amino-3,5-dibromophenyl)((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)methanone",80,10.1002_adsc.200600583,2,,5,,P,43.0,1.0,,0.06,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,bicyclo[2.2.1]hept-2-ene,,,,,,,,,0.0,S
21,O=Cc1ccccc1O,C1=CC2C=CC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2C=C[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2C=C[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,O=C(N[C@@H]1CCCC[C@H]1NC(=O)c1ccccc1P(c1ccccc1)c1ccccc1)c1ccccc1P(c1ccccc1)c1ccccc1,ClCCCl,,,,,,,,,1.1,0.84,,57:43,,0.0,,,,,22,,,"((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,20,,,44.0,,,,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,"bicyclo[2.2.1]hepta-2,5-diene",,,,,,0.1,,,0.0,S
22,O=Cc1ccccc1O,C1=CC2C=CC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2C=C[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2C=C[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,ClCCCl,,,,,,,,,1.1,0.61,,55:45,,0.0,,,,,23,,,"((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,20,,"P,P",28.0,2.0,,,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,"bicyclo[2.2.1]hepta-2,5-diene",,,,,,,,,0.0,S
23,O=Cc1ccccc1O,C1=CC2C=CC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2C=C[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2C=C[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,C[C@H]([C@@H](C)P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,ClCCCl,,,,,,,,,1.1,0.89,,58:42,,0.0,,,,,24,,,"((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,20,,"P,P",86.0,2.0,,,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,"bicyclo[2.2.1]hepta-2,5-diene",,,,,,0.08,,,0.0,S
24,O=Cc1ccccc1O,C1=CC2C=CC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2C=C[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2C=C[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,C1=C[C@H]2C[C@@H]1[C@@H](P(c1ccccc1)c1ccccc1)[C@@H]2P(c1ccccc1)c1ccccc1,ClCCCl,,,,,,,,,1.1,0.19,,77:23,,0.0,,,,,25,,,"((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,20,,"P,P",67.0,2.0,,,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,"bicyclo[2.2.1]hepta-2,5-diene",,,,,,0.21,,,0.0,S
25,O=Cc1ccccc1O,C1=CC2C=CC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2C=C[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2C=C[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,CC(C)[C@@H]1COC(c2ccccc2P(c2ccccc2)c2ccccc2)=N1,ClCCCl,,O=P([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+],,,,,,,1.0,0.77,,46:54,,0.0,,,,,26,,,"((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,"P,P",19.0,2.0,,0.06,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,"bicyclo[2.2.1]hepta-2,5-diene",,,,,,0.19,,,0.0,S
26,O=Cc1ccccc1O,C1=CC2C=CC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2C=C[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2C=C[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,CC(C)[C@H]1COC(c2cc3ccc2CCc2ccc(cc2P(c2ccccc2)c2ccccc2)CC3)=N1,ClCCCl,,,,,,,,,1.1,0.98,,54:46,,0.0,,,,,27,,,"((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,20,,"P,N",17.0,2.0,,,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,"bicyclo[2.2.1]hepta-2,5-diene",,,,,,0.07,,,0.0,S
27,O=Cc1ccccc1O,C1=CC2C=CC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2C=C[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2C=C[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,CC(C)[C@H]1COC(c2cc3ccc2CCc2ccc(cc2P(c2ccccc2)c2ccccc2)CC3)=N1,ClCCCl,,,,,,,,,1.1,0.99,,56:44,,0.0,,,,,28,,,"((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,20,,"P,N",19.0,2.0,,,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,"bicyclo[2.2.1]hepta-2,5-diene",,,,,,0.09,,,0.0,S
28,O=Cc1ccccc1O,C1=CC2C=CC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2C=C[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2C=C[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,CC(C)[C@H]1COC(c2c3ccc(c2P(c2ccccc2)c2ccccc2)CCc2ccc(cc2)CC3)=N1,ClCCCl,,,,,,,,,1.1,0.31,,38:62,,0.0,,,,,29,,,"((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,20,,"P,N",47.0,2.0,,,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,"bicyclo[2.2.1]hepta-2,5-diene",,,,,,0.15,,,0.0,S
